Data Source,Licence,Home Page
15.covid_abs,https://creativecommons.org/licenses/by/4.0/deed.es,"https://gobiernoabierto.navarra.es/es/open-data/datos/datos-zonas-basicas-salud-covid-19,https://gobiernoabierto.navarra.es/es/open-data/datos/datos-poblacion-zonas-basicas-salud-covid-19"
07.covid_abs,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/tasa-coronavirus-zonas-basicas-salud/1284942912395,https://analisis.datosabiertos.jcyl.es/explore/embed/dataset/tasa-enfermos-acumulados-por-areas-de-salud/table/"
07.covid_hosp,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/situacion-coronavirus-hospitales/1284941728695,https://analisis.datosabiertos.jcyl.es/explore/dataset/situacion-de-hospitalizados-por-coronavirus-en-castilla-y-leon/table/"
07.deceased_abs,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/tasa-mortalidad-centros-coronavirus/1284947958320,https://analisis.datosabiertos.jcyl.es/explore/dataset/tasa-mortalidad-covid-por-zonas-basicas-de-salud/table/"
02.covid_hosp,https://creativecommons.org/licenses/by/4.0/,https://opendata.aragon.es/datos/catalogo/dataset/publicaciones-y-anuncios-relacionados-con-el-coronavirus-en-aragon
02.covid_cpro,https://creativecommons.org/licenses/by/4.0/,https://opendata.aragon.es/datos/catalogo/dataset/publicaciones-y-anuncios-relacionados-con-el-coronavirus-en-aragon
15.covid_cp,https://choosealicense.com/no-permission/,
ES.covid_cpro,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
ES.hosp_covid_cpro,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
ES.covid_cca,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
ES.covid_decl_cca,https://choosealicense.com/no-permission/,https://cnecovid.isciii.es/covid19/
06.covid_cumun,https://www.icane.es/footer/legal-advisory,https://www.scsalud.es/coronavirus
mitma_mov.movements_raw,https://www.mitma.gob.es/el-ministerio/buen-gobierno/licencia_datos,https://www.mitma.gob.es/ministerio/covid-19/evolucion-movilidad-big-data/opendata-movilidad
mitma_mov.zone_movements,https://www.mitma.gob.es/el-ministerio/buen-gobierno/licencia_datos,https://www.mitma.gob.es/ministerio/covid-19/evolucion-movilidad-big-data/opendata-movilidad
ES.MoMo_cca,https://choosealicense.com/no-permission/,https://momo.isciii.es/public/momo/dashboard/momo_dashboard.html
ES.confinements,https://choosealicense.com/no-permission/,
10.covid_cumun,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-en-els-ultims-14-dies-i-persones-mortes-per-municipi-2020
10.covid_cumun,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-en-els-ultims-14-dies-i-persones-mortes-per-municipi-2021
10.covid_ds,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-ultims-14-dies-i-persones-mortes-per-departament-2020
10.covid_ds,http://www.opendefinition.org/licenses/cc-by,https://dadesobertes.gva.es/dataset/covid-19-casos-confirmats-pcr-casos-pcr-ultims-14-dies-i-persones-mortes-per-departament-2021
rel.pop_cumun,https://sedempr.gob.es/es/content/aviso-legal,"https://www.mptfp.gob.es/portal/politica-territorial/local/sistema_de_informacion_local_-SIL-/registro_eell.html,https://datos.gob.es/en/catalogo/e05024601-registro-de-entidades-locales-busqueda-por-municipios"
escovid19.prov,https://github.com/montera34/escovid19data/blob/master/LICENSE.md,https://github.com/montera34/escovid19data
escovid19.ccaa,https://github.com/montera34/escovid19data/blob/master/LICENSE.md,https://github.com/montera34/escovid19data
escovid19.spain,https://github.com/montera34/escovid19data/blob/master/LICENSE.md,https://github.com/montera34/escovid19data
12.covid_as,https://choosealicense.com/no-permission/,https://coronavirus.sergas.gal/datos/#/es-ES/galicia
12.covid_pcr_as,https://choosealicense.com/no-permission/,https://coronavirus.sergas.gal/datos/#/es-ES/galicia
12.covid_percent_as,https://choosealicense.com/no-permission/,https://coronavirus.sergas.gal/datos/#/es-ES/galicia
03.covid_as,https://choosealicense.com/no-permission/,"https://obsaludasturias.com/obsa/niveles-covid-19/,https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/"
03.covid_cumun,https://choosealicense.com/no-permission/,"https://obsaludasturias.com/obsa/niveles-covid-19/,https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/"
Generated at,2021-02-22,
